timestamps,TP9,AF7,AF8,TP10
1660571260.053,-912.598,-920.898,-831.055,643.066
1660571260.057,26.367,150.879,-836.426,587.402
1660571260.061,-1000.000,-1000.000,-917.480,475.098
1660571260.065,-1000.000,-1000.000,-873.535,509.277
1660571260.022,-1000.000,-1000.000,-1000.000,106.445
1660571260.026,-488.770,-354.004,-1000.000,161.621
1660571260.030,855.469,915.527,-1000.000,280.762
1660571260.034,993.652,-907.715,-1000.000,365.723
1660571260.038,-245.117,-15.625,-1000.000,302.734
1660571260.042,-1000.000,-1000.000,-995.605,188.477
1660571260.046,-335.449,-177.246,-1000.000,310.059
1660571260.049,901.367,988.281,-972.656,532.715
1660571260.053,-912.598,-920.898,-831.055,643.066
1660571260.057,26.367,150.879,-836.426,587.402
1660571260.061,-1000.000,-1000.000,-917.480,475.098
1660571260.065,-1000.000,-1000.000,-873.535,509.277
1660571260.067,-30.762,54.199,-927.246,653.320
1660571260.071,-843.262,-779.297,-929.688,782.227
1660571260.075,-50.293,157.227,-743.164,708.008
1660571260.079,-1000.000,-1000.000,-631.348,500.488
